,High,Low,Open,Close,Volume,Adj Close
2006-01-23,15497.92969,15412.25977,15454.7998,15464.76953,512870000,15464.76953
2006-01-24,15551.66016,15463.11035,15540.91992,15530.57031,334958200,15530.57031
2006-01-25,15572.37988,15487.67969,15560.66016,15520.38965,375993800,15520.38965
2006-01-26,15563.40039,15469.24023,15550.33008,15520.07031,361639800,15520.07031
2006-01-27,15770.4502,15650.69043,15659.20996,15753.13965,900109200,15753.13965
2006-02-01,15808.17969,15653.90039,15798.44043,15742.2998,540984600,15742.2998
2006-02-02,15775.65039,15666.94043,15771.33984,15691.69043,510822200,15691.69043
2006-02-03,15486.74023,15420.66016,15472.03027,15429.73047,565005800,15429.73047
2006-02-06,15564.95996,15374.88965,15415.87988,15548.05957,473072800,15548.05957
2006-02-07,15560.40039,15466.46973,15558.51953,15517.00977,526470000,15517.00977
2006-02-08,15469.50977,15327.07031,15451.20996,15373.44043,612390600,15373.44043
2006-02-09,15467.66992,15371.73047,15443.42969,15413.42969,397975800,15413.42969
2006-02-10,15443.4502,15355.44043,15365.38965,15425.9502,411900800,15425.9502
2006-02-13,15355.38965,15267.9502,15303.04004,15312.08984,406328000,15312.08984
2006-02-14,15445.07031,15240.9502,15241.66016,15420.32031,417382000,15420.32031
2006-02-15,15514.92969,15316.62988,15449.13965,15423.25977,436302800,15423.25977
2006-02-16,15495.7998,15436.53027,15495.7998,15450.87988,373306400,15450.87988
2006-02-17,15520.59961,15437.54004,15517.91992,15475.69043,354205000,15475.69043
2006-02-20,15627.0498,15525.74023,15525.74023,15598.66992,326216800,15598.66992
2006-02-21,15661.2002,15567.62988,15651.74023,15627.24023,359727400,15627.24023
2006-02-22,15641.78027,15584.26953,15613.86035,15635.71973,285357400,15635.71973
2006-02-23,15849.86035,15611.5498,15651.78027,15812.53027,527662800,15812.53027
2006-02-24,15875.33008,15779.79004,15848.5,15856.0498,350481000,15856.0498
2006-02-27,15999.30957,15890.7998,15943.63965,15949.88965,417455600,15949.88965
2006-02-28,15928.08008,15824.4502,15920.49023,15918.48047,357386400,15918.48047
2006-03-01,15887.62988,15768.20996,15768.20996,15818.08984,296409200,15818.08984
2006-03-02,15922.9502,15836.36035,15905.94043,15882.4502,294946800,15882.4502
2006-03-03,15896.55957,15802,15887.66992,15802,398964400,15802
2006-03-06,15845.2002,15777,15812.71973,15811.83008,280681600,15811.83008
2006-03-07,15835.46973,15560.62012,15835.46973,15602.36035,503860000,15602.36035
2006-03-08,15555.82031,15348.21973,15545.41992,15493.08984,496846400,15493.08984
2006-03-09,15555.61035,15458.78027,15526.08984,15510.12988,371035400,15510.12988
2006-03-10,15521.40039,15397.17969,15521.40039,15445.0498,227922800,15445.0498
2006-03-13,15545.84961,15469.76953,15542.79004,15542.07031,213722400,15542.07031
2006-03-14,15548.26953,15461.80957,15548.12988,15519.75977,285640000,15519.75977
2006-03-15,15762.11035,15647,15647.42969,15720.36035,324151000,15720.36035
2006-03-16,15773.73047,15668.33984,15753.36035,15729.04004,237243800,15729.04004
2006-03-17,15845.96973,15715.41016,15778.48047,15801.66016,431043600,15801.66016
2006-03-20,15973.00977,15862.90039,15868.49023,15929.9502,428078000,15929.9502
2006-03-21,15936.17969,15870.73047,15911.49023,15922.75,249834200,15922.75
2006-03-22,15840.13965,15619.13965,15790.4502,15642.80957,383483600,15642.80957
2006-03-23,15772.92969,15669.46973,15689.61035,15771.16992,315598200,15771.16992
2006-03-24,15792.04004,15671.62988,15778.17969,15716.45996,290918200,15716.45996
2006-03-27,15847.75,15694.11035,15743.66992,15815.87012,416034600,15815.87012
2006-03-28,15920.07031,15787,15824.53027,15856.58008,563170400,15856.58008
2006-03-29,15843.09961,15729.25977,15790.42969,15745.11035,365452000,15745.11035
2006-03-30,15954.91016,15819.41992,15819.41992,15880.69043,422453600,15880.69043
2006-03-31,15964.34961,15739.19043,15942.73047,15805.04004,424538400,15805.04004
2006-04-03,16076.74023,15877.44043,15904.96973,16063.75,340218000,16063.75
2006-04-04,16121.21973,16039.50977,16107.21973,16100.08984,380671000,16100.08984
2006-04-06,16423.31055,16190.5498,16222.29004,16411.13086,575474200,16411.13086
2006-04-07,16534.83008,16328.62988,16415.51953,16471.7793,450439600,16471.7793
2006-04-10,16527.93945,16374.58984,16383.58008,16521.58984,335448400,16521.58984
2006-04-11,16505.75977,16381.00977,16480.85938,16475.81055,295626400,16475.81055
2006-04-12,16427.56055,16260.87988,16414.36914,16310.75977,448174000,16310.75977
2006-04-13,16446.66992,16308.76953,16360.16016,16429.44922,337570600,16429.44922
2006-04-18,16643.80078,16533.07031,16534.90039,16637.5293,422676000,16637.5293
2006-04-19,16897.81055,16780.5293,16858.0293,16830.43945,564111600,16830.43945
2006-04-20,16953.25,16753.18945,16888.88086,16944.33984,436367800,16944.33984
2006-04-21,16991.51953,16808.61914,16893.51953,16912.15039,414154200,16912.15039
2006-04-24,16930.00977,16678.31055,16917.60938,16705.66992,479641800,16705.66992
2006-04-25,16746.31055,16547.30078,16734.83008,16577.76953,495561400,16577.76953
2006-04-26,16739.26953,16539.07031,16628.59961,16672.66016,397465000,16672.66016
2006-04-27,16856.9707,16728.84961,16749.48047,16742.84961,293001200,16742.84961
2006-04-28,16672.41016,16429.5,16461.59961,16661.30078,362459600,16661.30078
2006-05-02,16896.85938,16744.16016,16764.58984,16868.03906,594247400,16868.03906
2006-05-03,17099.48047,16970.40039,17066.98047,17026.98047,530625800,17026.98047
2006-05-04,17076.91992,16966.24023,16966.24023,17013.92969,357919200,17013.92969
2006-05-08,17328.42969,17204.25,17204.25,17301.78906,552253400,17301.78906
2006-05-09,17278.86914,17118.2207,17278.86914,17133.99023,470048000,17133.99023
2006-05-10,17239.21094,17018.16992,17205.34961,17080.58984,388062000,17080.58984
2006-05-11,17185.78906,17010.40039,17065.96094,17140.7793,513897600,17140.7793
2006-05-12,16967.03906,16845.84961,16868.85938,16901.84961,405818200,16901.84961
2006-05-15,16673.5293,16455.46094,16623.34961,16494.83984,469529000,16494.83984
2006-05-16,16435.55078,16247.58008,16400.66016,16393.10938,582736400,16393.10938
2006-05-17,16626.71094,16421.08984,16497.91016,16615.55078,482784400,16615.55078
2006-05-18,16363.33984,16177.17969,16232.16016,16266.51953,503735800,16266.51953
2006-05-19,16361.94043,16155.76953,16169.78027,16313.36035,360012400,16313.36035
2006-05-22,16304.9502,15790.44043,16295.37012,15805.51953,472615200,15805.51953
2006-05-23,15888.48047,15691.12988,15747.40039,15864.55957,561383400,15864.55957
